UserId,UserName
24424,guardiantalk
27052,hochiming
25790,dejavu72
27070,papneverchange
11449,catnmouse
29017,kokotan12
12348,jbharding
28327,WangHao123
6016,mannactive
26566,yellywoo
5068,harryc
9203,sebastianteo
27153,kallen1709
19660,joeyfoo17
9351,CelineC
6246,swlai89
6177,&amp; then
22872,sasquatch
22663,goodvsbad
27656,mattmurdock
11343,Silverlining
27692,hwangbohj
30670,hermione888
3323,renyeo
27335,exportset9
9723,ready88
27786,thecliftowner
27250,danieldukakis
11012,rebirth78
27255,broadben
24040,veniceandprague
6545,Paikia44
27265,emeraldchan
5845,happyboy111
27390,ceciliaang91
27332,tohsk999
14903,Matrixneo
27392,clairess1
11417,NotAWookie
27206,ptrgan1980
27685,monstermentor
27566,notheone
29139,tonooneinparticular
27333,triumphasia
9914,KHChiang
27351,aslanofnarnia
27366,cheekycharlie
14945,huangsunxun
27380,mildsteel
27424,rongoron
9944,AORAORAOR
14043,Viper1962
19900,austinios
27456,tanahkow123
22548,bamforte
28326,booknsword
29692,masteripman
27276,hyperoldbird
39849,exportset23
6231,singleton
57279,tequila513
13389,dixonchan
20208,panjandrum61
23045,Traveller007
7139,larson
6800,SinKaporean
27768,dr_zhang
26149,ahnteediva
15574,adultman69
4986,hokokfei
24182,blue_yoghurt
27695,jcshine7
22766,kipdrordy
27442,speed2277
9841,zakashi198
21354,chaoahbeng
22698,Perturbed
6682,iloveredroses
9569,cracks
8263,superanova
30119,orangepants
23040,whqiu2003
11405,lightasacloud
30795,www.myonlinemediaplayer.com
39682,mikeyyyy
61065,tvatvbtvc
50373,sexysggal
45663,auditorrr
15110,AcCeSsDeNiEd
11493,bigstick
54408,lkh11lkh
27287,st1277444
47689,michealpek
26896,Beelzboy
58581,CannonLE
6775,nchong
66154,lionlion75
13838,asdspore
27499,authorityforwhat70
22250,whyteknight
26740,pokarrse
21440,oxidegal
27596,tuakilan
27578,citizencane
27641,happygala
15590,blanketcorner
27613,mytwobosses
27669,lawrence5
27757,tbchio186
27744,mrbencai
9467,snowlex
27146,stephen007
27555,bluehorizonsugar
28097,xradeonx
27789,tehtarikdude
27246,taurius58
11157,agan789
10811,baqterial
23865,hengstock2
20788,handsome80
27869,lilmisshr
7784,asia_twotwo
27368,achia2121
27646,singaporelove
27963,nononsense2011
27788,kanilauboo
15617,bishop99
19986,monkeygod0111
26237,andrew887
15376,zhihao
5855,observasian
21083,adoptedcitizen
21980,Charles Xavier Patrick
28345,FedUpLion
28092,sipehtuakilan
29656,lpaa2011
5476,melvinchen1
28161,2lim2lim
28341,exportsets
23796,cyem5448
7598,Tim Lee
28268,saharaone
26613,bluerose222
8611,OurNextGeneration
28741,logic_critic
28249,machismo
28242,davidwee
28264,stinkaporediots
5681,purpleknight
26044,lmittc
28285,liangdingqin
21456,factsfinder8
42671,30.cents
20477,dingster
53691,SingaporeAngryBird
100856,Kontikki
27557,ScandalousTruth
28294,bwushmyteeth
28312,h20saver
28185,SuperSingh
6549,Importer
28245,evelyn35
12004,workinginchina
15045,KK090766
28355,Your_Fath3r
14609,mllx4rt2
28364,vortexbeam
28366,victoros
28134,bowerbird
27592,Oscar475
14199,skooter86
21904,90030003
29149,davidyeo
29155,saharatwo
29159,riever38
28008,everyrose
14263,Jeramine
5031,Talkonly
28463,ruslan123
28537,gildor88
4988,lowbuck2
22292,luvkarena
11021,lagalagsalupa
28501,gerrythinks
28468,monnjunior
28503,sappoloff
8996,xopafire
9062,Adamongong
29420,servicecrusader
14893,dorothytmk
28560,facelook_69
28557,innocentman11
21918,sgjbisp
28752,antigovmen
27538,tatadada
6390,A1Reader1k
28387,chong
28681,colin_khoo
14078,lt_spore
24834,tryan1515
7860,kkchust
22343,littleReddot
9797,overseas singaporean
11560,Baby1995
10707,Industrious
19515,Fjustice
28770,imatrader
28771,justwatashi
28773,a_rahmanm
5724,Sultan_22
13366,gemfighter
28754,theconcernedcitizen
28673,frywonton
4521,lenkiatleong
13213,joelee
28786,EddyEdward
28549,andy_andy
22442,accessdenied65
4669,Conjjerr
12200,stomp_dude_DISPLAY
28876,singapore80
12334,CounterfeitAngMoh
21728,Betalnut
9302,justthinking
8430,SugarDumpling
6022,iamgodlike
10557,sc1963sc
28975,papmustgo
28982,silicili
28870,apiapisaya
28980,codenamedk
20900,ChasingtheAntelope&#36214;&#32666;&#32650;
28986,charlie9
9041,0517elias
28912,fromthailand
33539,inter_33
28922,swiftblade
45662,taiwanwithlove
57804,angmohkio
57307,UrGuilty
40196,aceboy_22
57799,PeoplePower
12267,chendler
65062,unemployed777
65265,DownWithEvil
15811,slsim
65234,RedRidingCrook
95773,Sunlotus
97279,maikiasi
98962,PP20130301
1201,hotnyh
4356,alix
29035,ssss
6917,wooky16
8864,stallikon
27797,caeuser123
28497,Gerigeriyeo
74444,simoncym
29146,limpehtuaki
23029,One Asia
29148,factsfinder
6971,KNOTWITHME.
9733,derricktancs
6463,buaytahanliao
29286,threedragon
10330,csengyee
1512,bugman68
21957,ahbengkor
29217,nederealm
22516,oneleftfoot
19612,bart12
26764,wordgames
6471,justbrowsing
29318,ahflirt23
20167,cancanlor
6221,extremepower
58270,dearestandrea
45023,alamaksingsong
42287,TerryLee1
52125,WhyTalkNow
58299,sgIronman
29158,cooldownman
23670,lelio
22477,CaptainKarma
9941,Aiyayayayai
20719,PettyQueen
4728,deritz
29436,rolandsgp
29441,wearesingaporean
29444,nolaughingmatter
29529,culinaryness
29362,rcandrew
4401,Forum goddess
8455,harrysimlo
21158,JayceeCo
15439,dorothylim
29466,ace1penny
27204,puppylol
5775,luckistar
11954,Spadypoonpeepee
5430,contest
5919,celine
29753,therealtruth
29630,stonevillage
14324,Le Freak
8486,SputterCoat
28545,voguevogue
22966,goulie123
5896,robinmbox
29565,concerncitizen01
29689,insiderstuff
29581,smwa1234
29635,baobao1989
5092,antisillypor
4578,Small fry
28917,loristan1
22959,ArisenRent
55241,Pro_papaya
